OBJECTID,PEC_ID,Locality,Name,Owner_Applicant,Street_Address,Parcel_ID,Acres,Building_Sq_Ft,MW_reported,Construction_Type,Build_Status,Notes,Tax_Map_link,Source_link,Lat,Long,Date_Updated,Updated_By,Lat1,Watershed
29,PEC-FAX-0013,Fairfax County,Northrop Grumman Systems Corporation,NORTHROP GRUMMAN SYSTEMS CORP,7555 COLSHIRE DR,0303 28 C2,11.79,"602,257",,Complete,Existing,,https://icare.fairfaxcounty.gov/ffxcare/Datalets/Datalet.aspx?mode=&UseSearch=no&pin=0303%2028%20%20%20%20%20%20C2&jur=129&taxyr=2025,,38.92187671,-77.20684374,2024-04-10,SEP,38.92187671,
30,PEC-FAX-0014,Fairfax County,Northrop Grummon Systems Corporation,NORTHROP GRUMMAN SYSTEMS CORP,2980 FAIRVIEW PARK DR,0494 13 0013,6.44,"358,898",,Complete,Existing,,https://icare.fairfaxcounty.gov/ffxcare/Datalets/Datalet.aspx?mode=&UseSearch=no&pin=0494%2013%20%200013&jur=129&taxyr=2025,,38.86781411,-77.21562208,2024-04-10,SEP,38.86781411,
31,PEC-FAX-0015,Fairfax County,RDC-1807 MICHAEL FARADAY COURT,RDC-1807 MICHAEL FARADAY COURT LLC,1807 MICHAEL FARADAY CT ,0183 05 0010,1.9,"30,609",,Complete,Existing,,https://icare.fairfaxcounty.gov/ffxcare/Datalets/Datalet.aspx?mode=&UseSearch=no&pin=0183%2005%20%200010&jur=129&taxyr=2025,,38.94886307,-77.32922339,2024-04-10,SEP,38.94886307,
32,PEC-FAX-0016,Fairfax County,Roosevelt Building,YOSEMITE DC ASSETS LLC,1755 OLD MEADOW RD,0294 06 0105,3.76,"72,546",,Complete,Existing,,https://icare.fairfaxcounty.gov/ffxcare/Datalets/Datalet.aspx?mode=&UseSearch=no&pin=0294%2006%20%200105&jur=129&taxyr=2025,https://www.fairfaxcounty.gov/planning-development/sites/planning-development/files/Assets/Documents/PDF/data-centers-report.pdf#page=1,38.91998209,-77.21175663,2024-04-10,SEP,38.91998209,
33,PEC-FAX-0017,Fairfax County,Science Applications International Corp (SAIC),DISCOVERY SQUARE LLC,12010 SUNSET HILLS RD,0173 01 0005,6.42,0,,Complete,Existing,,https://icare.fairfaxcounty.gov/ffxcare/datalets/datalet.aspx?mode=com_combined&UseSearch=no&pin=0173%2001%20%200005&jur=129&taxyr=2025&LMparent=138,,38.95265185,-77.3499866,2024-04-10,SEP,38.95265185,
34,PEC-FAX-0018,Fairfax County,TFG INDEPENDENCE CENTER I PROPERTY,TFG INDEPENDENCE CENTER I PROPERTY LLC,15036 CONFERENCE CENTER DR,0432 02 0029B2,10.9,"293,514",,Complete,Existing,,https://icare.fairfaxcounty.gov/ffxcare/Datalets/Datalet.aspx?mode=&UseSearch=no&pin=0432%2002%20%200029B2&jur=129&taxyr=2025,,38.88027303,-77.46223559,2024-04-10,SEP,38.88027303,
35,PEC-FAX-0019,Fairfax County,Tysons Enterprise West,Equinix,7990 Quantum Dr,0392 01 0013D,0.0,"202,500",,Complete,Existing,,,https://www.fairfaxcounty.gov/planning-development/sites/planning-development/files/Assets/Documents/PDF/data-centers-report.pdf#page=1,38.90900557,-77.22049996,2024-04-10,SEP,38.90900557,
36,PEC-FAX-0020,Fairfax County,VA 95 BUILDING NINE LP,VA 95 BUILDING NINE LP,7600 BOSTON BLVD,0991 12 0010,4.32,"69,832",,Complete,Existing,,https://icare.fairfaxcounty.gov/ffxcare/Datalets/Datalet.aspx?mode=&UseSearch=no&pin=0991%2012%20%200010&jur=129&taxyr=2025,,38.73919219,-77.20798002,2024-04-10,SEP,38.73919219,
37,PEC-FAX-0021,Fairfax County,Valo Park,TAMARES 7950 OWNER LLC,7950 JONES BRANCH DR,0292 15 C1,16.74,"842,366",,Complete,Existing,,https://icare.fairfaxcounty.gov/ffxcare/Datalets/Datalet.aspx?mode=&UseSearch=no&pin=0292%2015%20%20%20%20%20%20C1&jur=129&taxyr=2025,,38.93238559,-77.21859114,2024-04-10,SEP,38.93238559,
38,PEC-FAX-0002A,Fairfax County,AVION DATA CENTER,Amazon Data Services Inc,14501 AVION PKWY,0341 03 0013,0.0,"768,392",,Expansion,Proposed,"Two facilities built, third planned",,https://plus.fairfaxcounty.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Site&TabName=Site&capID1=21WW1&capID2=00000&capID3=00IHZ&agencyCode=FFX,38.90454295,-77.45267338,2024-04-10,SEP,38.90454295,
39,PEC-FAX-0022,Fairfax County,AWS Loisdale Station,Amazon Data Services Inc,7961 Loisdale Rd,0992 01 0008A,23.41,"240,000",,New,Proposed,,https://icare.fairfaxcounty.gov/ffxcare/Datalets/Datalet.aspx?mode=&UseSearch=no&pin=0992%2001%20%200008A&jur=129&taxyr=2025,https://www.fairfaxcounty.gov/planning-development/sites/planning-development/files/Assets/Documents/PDF/data-centers-report.pdf#page=1,38.74226677,-77.18642689,2024-04-10,SEP,38.74226677,
40,PEC-FAX-0023,Fairfax County,"PARKSTONE TECH PARK, LLC","PARKSTONE TECH PARK, LLC",Conference Center Dr,0434 06 0037B,18.92,"500,000",,New,Proposed,,https://icare.fairfaxcounty.gov/ffxcare/Datalets/Datalet.aspx?mode=&UseSearch=no&pin=0434%2006%20%200037B&jur=129&taxyr=2025,https://plus.fairfaxcounty.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Zoning&TabName=Zoning&capID1=20HS5&capID2=00000&capID3=003UO&agencyCode=FFX,38.87255032,-77.46563256,2024-04-10,SEP,38.87255032,
41,PEC-FAX-0024,Fairfax County,PDCREF 2 Chantilly,PDCREF 2 CHANTILLY LLC,Lee Jackson Memorial HWY,0332 01 0006,79.14,"402,000",,New,Proposed,,https://icare.fairfaxcounty.gov/ffxcare/Datalets/Datalet.aspx?mode=&UseSearch=no&pin=0332%2001%20%200006&jur=129&taxyr=2025,https://plus.fairfaxcounty.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Zoning&TabName=Zoning&capID1=REC22&capID2=00000&capID3=00GHV&agencyCode=FFX,38.90305684,-77.46525084,2024-04-10,SEP,38.90305684,
42,PEC-FAX-0025,Fairfax County,Perspecta Datacenter Campus,Amazon Data Services Inc,13600 EDS DR,0244 01 0006B8,47.95,"271,471",,"Operating, Expanding",Existing,,https://icare.fairfaxcounty.gov/ffxcare/Datalets/Datalet.aspx?mode=&UseSearch=no&pin=0244%2001%20%200006B8&jur=129&taxyr=2025,,38.92334599,-77.42683496,2024-04-10,SEP,38.92334599,
43,PEC-FAX-0025A,Fairfax County,Perspecta Datacenter Campus,Amazon Data Services Inc,13600 EDS DR,0244 01 0006B8,0.0,"1,046,632",,New,Proposed,Expansion of an existing facility. Built square footage has been subtracted,https://icare.fairfaxcounty.gov/ffxcare/Datalets/Datalet.aspx?mode=&UseSearch=no&pin=0244%2001%20%200006B8&jur=129&taxyr=2025,https://www.fairfaxcounty.gov/planning-development/sites/planning-development/files/Assets/Documents/PDF/data-centers-report.pdf#page=1,38.92334599,-77.42683496,2024-04-10,SEP,38.92334599,
44,PEC-FAX-0026,Fairfax County,Renaissance Technology Park,RP INDUSTRIAL OWNER II LLC,13850 PARK CENTER RD,0242 14 0004,13.23,"2,136,040",,New,Proposed,,https://icare.fairfaxcounty.gov/ffxcare/Datalets/Datalet.aspx?mode=&UseSearch=no&pin=0242%2014%20%200004&jur=129&taxyr=2025,https://www.fairfaxcounty.gov/planning-development/sites/planning-development/files/Assets/Documents/PDF/data-centers-report.pdf#page=1,38.93244586,-77.42386514,2024-04-10,SEP,38.93244586,
45,PEC-FAQ-0001,Fauquier County,DATA CENTER VINT HILL,DATA CENTER VINT HILL LLC,6872 WATSON CT,7915-86-3249-000,8.57,"84,199",,Complete,Existing,,https://gis.vgsi.com/fauquierva/Parcel.aspx?pid=46425,,38.74741879,-77.6742572,2024-04-10,SEP,38.74741879,
46,PEC-FAQ-0002,Fauquier County,Catlett Data Center Park,Catlett Station II LLC,3154 GASKINS LN,7922-94-4334-000,69.43,"1,400,000",,New,Proposed,"Project covers more than one parcel, the acreage represents the combined acreage",https://gis.vgsi.com/fauquierva/Parcel.aspx?pid=48900,https://commdevpay.fauquiercounty.gov/Energov_Prod/SelfService#/plan/8f168f14-7317-41b8-9a51-0fb7fc218ac1?tab=attachments,38.66177679,-77.63221689,2024-04-10,SEP,38.66177679,
47,PEC-FAQ-0003,Fauquier County,Gigaland Remington,Gigaland Data Centers,LUCKY HILL LLC,6887-78-2050-000,202.0,"1,600,000",,New,Proposed,"Project covers more than one parcel, the acreage represents the combined acreage",https://gis.vgsi.com/fauquierva/Parcel.aspx?pid=7982,https://www.fauquier.com/news/gigaland-pitches-new-data-center-complex-near-remington/article_54a84456-c63e-11ee-9791-af00814cfeff.html?emci=b70cb8e1-97c6-ee11-85f9-002248223794&emdi=9a5bec2c-b0c6-ee11-85f9-002248223794&ceid=11786847#tncms-source=Front%20Page%20Top%20Headlines%201-4,38.53448373,-77.78286972,2024-04-10,SEP,38.53448373,
48,PEC-FAQ-0004,Fauquier County,Maple Tree Farm,,8275 MAPLE TREE LN,6983-96-2271-000,42.57,0,,New,Proposed,No application yet,,https://www.fauquier.com/news/article_55011450-b2d5-11ed-bd87-df7e49eb5e4a.html,38.69158561,-77.77972928,2024-04-10,SEP,38.69158561,
49,PEC-FAQ-0005,Fauquier County,Remington Technology Park,REMINGTON TECHNOLOGY PARK LTD PTNRSHP,6980 HELM DR,6888-60-2817-000,234.0,"1,700,000",300.0,New,Proposed,,https://gis.vgsi.com/fauquierva/Parcel.aspx?pid=8404,https://commdevpay.fauquiercounty.gov/Energov_Prod/SelfService#/plan/418c4f35-ec88-4631-97e8-6b53bf810a32,38.54050798,-77.7890749,2024-04-10,SEP,38.54050798,
50,PEC-FAQ-0006,Fauquier County,SAMX Data Center,SAMX Data,11825 REMINGTON RD,6888-62-0664-000,55.25,"1,140,000",,New,Proposed,"Project covers more than one parcel, the acreage represents the combined acreage",https://gis.vgsi.com/fauquierva/Parcel.aspx?pid=8405,https://commdevpay.fauquiercounty.gov/Energov_Prod/SelfService#/plan/e3d99e5d-0689-4369-9a48-015f450b6517,38.54318157,-77.78340316,2024-04-10,SEP,38.54318157,
51,PEC-FAQ-0007,Fauquier County,Vint Hill Technology Campus (CyrusOne),C1 Vint Hill LLC,Vint Hill Pkwy,7915-88-3261-000,48.0,"981,000",,New,Proposed,"Project covers more than one parcel, the acreage represents the combined acreage",https://gis.vgsi.com/fauquierva/Parcel.aspx?pid=46540,https://www.datacenterdynamics.com/en/news/two-sites-in-virginias-fauquier-county-bought-by-data-center-developer/,38.75228175,-77.67349626,2025-10-10,SEP,38.75228175,
52,PEC-FAQ-0008,Fauquier County,Warrenton Amazon Data Center,Amazon Data Services Inc,719 BLACKWELL RD,6984-69-2419-000,41.71,"220,000",,New,Proposed,,https://gis.vgsi.com/fauquierva/Parcel.aspx?pid=27419,https://www.fauquiernow.com/news/business/warrenton-town-council-approves-amazon-data-center-proposal/article_3913e82e-ad0a-11ed-83f3-538a8a5bb411.html,38.72947429,-77.7875309,2024-04-10,SEP,38.72947429,
53,PEC-FRE-0001,Frederick County,Middletown Data Center,MIDDLETOWN DATA CENTER LLC,8209 Valley Pike,90 A 58C,6.15,"33,483",6.7,Complete,Existing,,,https://frdnet.fcva.us/applications/COR_ViewPropertyCards/View_Detail.aspx?mrecno=28249,39.01765012,-78.29093138,2024-04-10,SEP,39.01765012,
54,PEC-HAN-0001,Hanover County,Pixel Factory,PIXEL FACTORY DEVELOPMENT LLC,9680 ATLEE COMMONS DRIVE,7797-09-6870,1.0,"6,000",,Complete,Existing,,,https://parcelmap.hanovercounty.gov/,37.69900902,-77.4362707,2024-04-10,SEP,37.69900902,
55,PEC-HAN-0002,Hanover County,Tract Technology Campus,VALCO HANOVER COUNTY,Hickory Hill Rd,7881-62-7381,1212.0,"11,000,000",,New,Proposed,"Project covers more than one parcel, the acreage represents the combined acreage",,https://www.hanovercounty.gov/1314/Data-Center-Project-I-95Hickory-Hill-Roa,37.78619822,-77.4403959,2024-04-10,SEP,37.78619822,
56,PEC-HAR-0001,Harrisonburg City,DBT Data Cyber Integration Center,AC 139 TYCO STREET LLC,139 TYCO ST,041 E 3,12.0,"95,500",,Complete,Existing,"Option to Expand an additional 15,000 sq ft",,https://gis.vgsi.com/HarrisonburgVAMap/,38.46248816,-78.85679395,2024-04-10,SEP,38.46248816,
57,PEC-HAR-0001A,Harrisonburg City,DBT DATA Cyber Integration Center,AC 139 TYCO STREET LLC,139 TYCO ST,041 E 3,0.0,"30,000",,Expansion,Proposed,,,https://www.datacentermap.com/usa/virginia/harrisonburg/dbt-data-cyber-integration-center/,38.46248816,-78.85679395,2024-04-10,SEP,38.46248816,
58,PEC-HEN-0001,Henrico County,Bank of America,Bank of America,6050 TECHNOLOGY CREEK DR,849-706-0950,65.0,"382,408",,Complete,Existing,,"https://realestate.henrico.us/ords/cam/f?p=510101:5:::NO::P5_PARCEL_ID,P5_SEARCH_TYPE:849-706-0950,0",,37.49566163,-77.23807993,2024-04-10,SEP,37.49566163,
59,PEC-HEN-0002,Henrico County,Cavalier Innsbrook Data Center,HIGHWOODS PROP,4551 COX RD,750-765-9452,,,,Complete,Existing,,"https://realestate.henrico.us/ords/cam/f?p=510101:5:::NO::P5_PARCEL_ID,P5_SEARCH_TYPE:750-765-9452,0",,37.66087584,-77.5739227,2024-04-10,SEP,37.66087584,
60,PEC-HEN-0003,Henrico County,EdgeConneX Richmond - EDCRIC01,NORTH RUN LH LLC,1450 E PARHAM RD,781-757-7788,9.57,"17,888",,Complete,Existing,,"https://realestate.henrico.us/ords/cam/f?p=510101:5:::NO::P5_PARCEL_ID,P5_SEARCH_TYPE:781-757-7788,0",,37.63891965,-77.46778456,2024-04-10,SEP,37.63891965,
61,PEC-HEN-0004,Henrico County,6200 TECHNOLOGY BLVD,FACEBOOK INC,6200 TECHNOLOGY BLVD,849-701-2260,172.05,"320,459",,Complete,Existing,square footage may be underreported,https://realestate.henrico.us/ords/cam/f?p=510101:5:::NO:::,,37.48184863,-77.23646395,2024-04-10,SEP,37.48184863,
62,PEC-HEN-0005,Henrico County,7301 TECHNOLOGY BLVD,FACEBOOK INC,7301 TECHNOLOGY BLVD,852-700-2714,129.27,"338,899",,Complete,Existing,,"https://realestate.henrico.us/ords/cam/f?p=510101:5:::NO::P5_PARCEL_ID,P5_SEARCH_TYPE:852-700-2714,0",,37.47831145,-77.22688023,2024-04-10,SEP,37.47831145,
63,PEC-HEN-0006,Henrico County,Infotel Systems Data Center,Infotel,6008 HERMITAGE RD,780-748-2431,0.7,572,,Complete,Existing,,"https://realestate.henrico.us/ords/cam/f?p=510101:5:::NO::P5_PARCEL_ID,P5_SEARCH_TYPE:780-748-2431,0",,37.61285122,-77.47348365,2024-04-10,SEP,37.61285122,
64,PEC-HEN-0007,Henrico County,Lumen Richmond 1,LEVEL 3 COMMUNICATIONS LLC,8851 PARK CENTRAL DR,790-760-2582,5.7,"36,508",,Complete,Existing,,"https://realestate.henrico.us/ords/cam/f?p=510101:5:::NO::P5_PARCEL_ID,P5_SEARCH_TYPE:790-760-2582,0",,37.64678362,-77.43844303,2024-04-10,SEP,37.64678362,
65,PEC-HEN-0008,Henrico County,Lumen Richmond 2,LEVEL 3 COMMUNICATIONS LLC,8145 Staples Mill Road,771-752-8623,,"5,522",,Complete,Existing,,"https://realestate.henrico.us/ords/cam/f?p=510101:5:::NO::P5_PARCEL_ID,P5_SEARCH_TYPE:771-752-8623,0",,37.62389546,-77.50267372,2024-04-10,SEP,37.62389546,
66,PEC-HEN-0009,Henrico County,White Oak Tech Park (QTS),QTS,6000 TECHNOLOGY BLVD,847-703-4371,210.0,"769,186",,Complete,Existing,,"https://realestate.henrico.us/ords/cam/f?p=510101:5:::NO::P5_PARCEL_ID,P5_SEARCH_TYPE:846-703-0495,0",,37.48946489,-77.24603356,2024-04-10,SEP,37.48946489,
67,PEC-HEN-0009A,Henrico County,Project Tropical,FACEBOOK INC,3951 PORTUGEE RD,850-698-1623,475.3,"675,000",,Expansion,Proposed,White Oak Tech Park Expansion,"https://realestate.henrico.us/ords/cam/f?p=510101:5:::NO::P5_PARCEL_ID,P5_SEARCH_TYPE:850-698-1623,0",https://www3.co.henrico.va.us/comments/main.php?Permit=POD2022-00605&Action=related&Submit=Submit,37.47379852,-77.23477836,2024-04-10,SEP,37.47379852,
68,PEC-HEN-0010,Henrico County,Atlantic Crossing,ATLANTIC CROSSING LLC,2801 OLD WILLIAMSBURG RD,840-713-3163,530.47,0,,New,Proposed,,"https://realestate.henrico.us/ords/cam/f?p=510101:5:::NO::P5_PARCEL_ID,P5_SEARCH_TYPE:840-713-3163,0",https://www.datacenterdynamics.com/en/news/hourigan-files-for-320-acre-data-center-campus-outside-richmond-virginia/?emci=44212ab4-0fa0-ee11-bea1-002248223f36&emdi=712e0f52-37a0-ee11-bea1-002248223f36&ceid=11786847,37.50428628,-77.26042683,2024-04-10,SEP,37.50428628,
69,PEC-KGE-0001,King George County,Birchwood AWS,Amazon Data Services Inc,10900 BIRCHWOOD DR,21 50,869.0,"7,250,000",,New,Proposed,"Project covers more than one parcel, the acreage represents the combined acreage",,https://www.datacenterdynamics.com/en/news/virginias-king-george-county-looks-to-approve-75m-sq-ft-data-center-park-for-amazon/,38.26640245,-77.31772806,2024-04-10,SEP,38.26640245,
70,PEC-LDN-0001,Loudoun County,Loudoun Commerce Center,Amazon Data Services Inc,45975 Nokes Blvd,030208833000,14.31,"311,670",,Redevelopment,Proposed,"Project covers more than one parcel, the acreage represents the combined acreage",https://reparcelasmt.loudoun.gov/pt/Datalets/Datalet.aspx?UseSearch=no&mode=profileall&pin=030208833000&jur=107&taxyr=2024,https://www.datacenterdynamics.com/en/news/amazon-to-demolish-nine-office-buildings-in-sterling-virginia-and-build-four-data-centers/,39.02239824,-77.41006855,2024-04-10,SEP,39.02239824,
71,PEC-LDN-0002,Loudoun County,MECP 1 ASHBURN 2 LLC,EdgeCore Digital/Partners Group,45831 MARIES RD,030292034000,10.0,"348,000",,New,Proposed,,https://reparcelasmt.loudoun.gov/pt/datalets/datalet.aspx?mode=profileall&UseSearch=no&pin=030292034000&jur=107&taxyr=2024&LMparent=20,https://www.datacenterdynamics.com/en/news/edgecore-buys-land-in-virginia-plans-36mw-data-center/,39.02199013,-77.41511893,2025-08-01,SEP,39.02199013,
72,PEC-LDN-0003,Loudoun County,NV-8 CYRUSONE,C1 NORTHERN VIRGINIA - STERLING VIII LLC,45905 MARIES RD,030296913000,9.68,"154,100",,Complete,Existing,Computer Center,https://reparcelasmt.loudoun.gov/pt/Datalets/Datalet.aspx?UseSearch=no&mode=profileall&pin=030296913000&jur=107&taxyr=2024,,39.02124555,-77.41336558,2024-04-10,SEP,39.02124555,
73,PEC-LDN-0004,Loudoun County,CYXTERA DC2 COLOCATION,MEDINA DC 2 ASSETS LLC,45901 NOKES BLVD,030297084000,6.24,"89,072",,Complete,Existing,"Shown as ""Storage Warehouse""",https://reparcelasmt.loudoun.gov/pt/datalets/datalet.aspx?mode=profileall&UseSearch=no&pin=030297084000&jur=107&taxyr=2024&LMparent=20,https://cloudandcolocation.com/datacenters/cyxtera-sterling-data-center-iad1-a/,39.02324816,-77.41318261,2024-04-10,SEP,39.02324816,
74,PEC-LDN-0005,Loudoun County,Manekin Plaza,Amazon Data Services Inc,46000 MANEKIN PLZ,030309421000,7.34,"313,000",,Redevelopment,Proposed,"Project covers more than one parcel, the acreage represents the combined acreage",https://reparcelasmt.loudoun.gov/pt/Datalets/Datalet.aspx?UseSearch=no&mode=profileall&pin=030309421000&jur=107&taxyr=2024,https://www.datacenterdynamics.com/en/news/amazon-to-demolish-nine-office-buildings-in-sterling-virginia-and-build-four-data-centers/,39.02377354,-77.40789059,2024-04-10,SEP,39.02377354,
75,PEC-LDN-0006,Loudoun County,MARIES TECH PARK LLC,Amazon Data Services Inc,45761 MARIES RD,030382006000,19.5,"426,710",,Complete,Existing,"Shown as ""Storage Warehouse""",https://reparcelasmt.loudoun.gov/pt/Datalets/Datalet.aspx?UseSearch=no&mode=profileall&pin=030382006000&jur=107&taxyr=2024,,39.02399856,-77.41950271,2024-04-10,SEP,39.02399856,
76,PEC-LDN-0007,Loudoun County,45845 NOKES BLVD,MEDINA DC 2 ASSETS LLC,45845 NOKES BLVD,030391106000,6.02,"79,300",,Complete,Existing,"Shown as ""Storage Warehouse""",https://reparcelasmt.loudoun.gov/pt/Datalets/Datalet.aspx?UseSearch=no&mode=profileall&pin=030391106000&jur=107&taxyr=2024,https://cloudandcolocation.com/datacenters/cyxtera-sterling-data-center-iad1-b/,39.02386667,-77.41526808,2024-04-10,SEP,39.02386667,
77,PEC-LDN-0008,Loudoun County,C1 NORTHERN VA - STERLING I-III,CyrusOne,21111 Ridgetop,030393965001,14.34,"420,000",48.0,Complete,Existing,Tax maps do not display square footage,https://reparcelasmt.loudoun.gov/pt/datalets/datalet.aspx?mode=profileall&UseSearch=no&pin=030393965001&jur=107&taxyr=2024&LMparent=20,,39.02606689,-77.41453647,2024-04-10,SEP,39.02606689,
78,PEC-LDN-0009,Loudoun County,CYXTERA COLOCATION,MEDINA DC 2 ASSETS LLC,21110 RIDGETOP CIR,030399036000,8.49,"135,500",,Complete,Existing,"Shown as ""Storage Warehouse""",https://reparcelasmt.loudoun.gov/pt/datalets/datalet.aspx?mode=profileall&UseSearch=no&pin=030399036000&jur=107&taxyr=2024&LMparent=20,https://cloudandcolocation.com/datacenters/cyxtera-sterling-data-center-iad1-c/,39.0248014,-77.41233467,2024-04-10,SEP,39.0248014,
79,PEC-LDN-0010,Loudoun County,Vantage V2 Campus 22318 Glenn Drive,VANTAGE DATA CENTERS VA2 LLC,22435 GLENN DR  ,032155119000,18.44,"565,680",,Complete,Existing,Has natural gas turbines and may produce onsite power,https://reparcelasmt.loudoun.gov/pt/Datalets/Datalet.aspx?UseSearch=no&mode=profileall&pin=032155119000&jur=107&taxyr=2024,https://www.datacenterdynamics.com/en/news/vantage-files-to-develop-second-virginia-campus-in-sterling/,38.99797264,-77.43019022,2024-04-10,SEP,38.99797264,
80,PEC-LDN-0011,Loudoun County,CPUS STERLING LP,CPUS STERLING LP,45900 PATHFINDER PLZ,033201325000,33.04,"441,780",,Complete,Existing,"Shown as ""Storage Warehouse""",https://reparcelasmt.loudoun.gov/pt/datalets/datalet.aspx?mode=profileall&UseSearch=no&pin=033201325000&jur=107&taxyr=2024&LMparent=20,,38.98774634,-77.4108618,2024-04-10,SEP,38.98774634,
81,PEC-LDN-0012,Loudoun County,23005 INTERNATIONAL DR,DULLES NCP II LLC,23005 INTERNATIONAL DR,034263373000,8.3,"169,960",,Complete,Existing,"Shown as ""Storage Warehouse""",https://reparcelasmt.loudoun.gov/pt/datalets/datalet.aspx?mode=profileall&UseSearch=no&pin=034263373000&jur=107&taxyr=2024&LMparent=20,,38.97999809,-77.42562186,2024-04-10,SEP,38.97999809,
82,PEC-LDN-0013,Loudoun County,22945 INTERNATIONAL DR AWS,Amazon Data Services Inc,22945 INTERNATIONAL DR,034357851000,17.41,"147,900",,Complete,Existing,"Shown as ""Storage Warehouse""",https://reparcelasmt.loudoun.gov/pt/Datalets/Datalet.aspx?UseSearch=no&mode=profileall&pin=034357851000&jur=107&taxyr=2024,,38.98215669,-77.42751353,2024-04-10,SEP,38.98215669,
83,PEC-LDN-0014,Loudoun County,DULLES NCP LLC,DULLES NCP LLC,22916 INTERNATIONAL DR,034365461000,13.0,"203,200",,Complete,Existing,"Shown as ""Storage Warehouse""",https://reparcelasmt.loudoun.gov/pt/Datalets/Datalet.aspx?UseSearch=no&mode=profileall&pin=034365461000&jur=107&taxyr=2024,,38.98239872,-77.42485244,2024-04-10,SEP,38.98239872,
84,PEC-LDN-0015,Loudoun County,WATERSIDE AWS,WATERSIDE I LLC,22900 PLATFORM PLZ,034385918000,73.9,"976,046",,Complete,Existing,"Shown as ""Storage Warehouse""",https://reparcelasmt.loudoun.gov/pt/datalets/datalet.aspx?mode=profileall&UseSearch=no&pin=034385918000&jur=107&taxyr=2024&LMparent=20,,38.98124896,-77.4179307,2024-04-10,SEP,38.98124896,
85,PEC-LDN-0016,Loudoun County,NV-4 CYRUSONE LLC,C1 NORTHERN VIRGINIA - STERLING IV LLC,"22811 INTERNATIONAL DR
",034462865000,9.95,"128,500",13.0,Complete,Existing,Computer Center,https://reparcelasmt.loudoun.gov/pt/datalets/datalet.aspx?mode=profileall&UseSearch=no&pin=034462865000&jur=107&taxyr=2024&LMparent=20,,38.98468471,-77.42581523,2024-04-10,SEP,38.98468471,
86,PEC-LDN-0017,Loudoun County,IAD2 Evoque Cyxtera,22810-22860 INTERNATIONAL DRIVE LLC,22810 INTERNATIONAL DR,034468458000,12.15,"118,541",,Complete,Existing,"Shown as ""Storage Warehouse""",https://reparcelasmt.loudoun.gov/pt/datalets/datalet.aspx?mode=profileall&UseSearch=no&pin=034468458000&jur=107&taxyr=2024&LMparent=20,https://cloudandcolocation.com/datacenters/cyxtera-sterling-data-center-iad2-a/,38.98419476,-77.42401873,2024-04-10,SEP,38.98419476,
87,PEC-LDN-0018,Loudoun County,Dulles 2000 Redevelopment,BCG JV Sterling LLC; Phil Tager,,035457494000,15.35,"530,550",,New,Proposed,Rezoning does not cover the entire area included in the two parcels,https://reparcelasmt.loudoun.gov/pt/datalets/datalet.aspx?mode=profileall&UseSearch=no&pin=035457494000&jur=107&taxyr=2024&LMparent=20,https://loudouncountyvaeg.tylerhost.net/prod/selfservice#/plan/06089816-10BD-4D2E-8A91-826D008AA2C4?tab=attachments,38.97512596,-77.42687087,2024-04-10,SEP,38.97512596,
88,PEC-LDN-0019,Loudoun County,VISA USA INC,VISA USA INC,44901 RUSSELL BRANCH PKWY,040464286000,41.28,"365,855",,Complete,Existing,Computer Center,https://reparcelasmt.loudoun.gov/pt/datalets/datalet.aspx?mode=profileall&UseSearch=no&pin=040464286000&jur=107&taxyr=2024&LMparent=20,,39.04920476,-77.44556813,2024-04-10,SEP,39.04920476,
89,PEC-LDN-0020,Loudoun County,BEAUMEADE LC PHASE III LLC,BEAUMEADE LC PHASE III LLC,20935 LOUDOUN COUNTY PKWY,041352218000,10.12,"147,600",,Complete,Existing,"Shown as ""Storage Warehouse""",https://reparcelasmt.loudoun.gov/pt/datalets/datalet.aspx?mode=profileall&UseSearch=no&pin=041352218000&jur=107&taxyr=2024&LMparent=20,,39.0363794,-77.44978929,2024-04-10,SEP,39.0363794,
90,PEC-LDN-0021,Loudoun County,PowerHouse/AREP ABX-1,AREP BEAUMEADE LLC,21529 BEAUMEADE CIR,042152579000,10.18,"259,194",,Complete,Existing,Computer Center,https://reparcelasmt.loudoun.gov/pt/datalets/datalet.aspx?mode=profileall&UseSearch=no&pin=042152579000&jur=107&taxyr=2024&LMparent=20,,39.01957896,-77.45049386,2024-04-10,SEP,39.01957896,
91,PEC-LDN-0022,Loudoun County,DC 21/IAD 98,BCORE COPT DC-21 LLC,45305 W SEVERN WAY,042197707000,24.36,"296,380",,Complete,Existing,"Shown as ""Storage Warehouse""",https://reparcelasmt.loudoun.gov/pt/datalets/datalet.aspx?mode=profileall&UseSearch=no&pin=042197707000&jur=107&taxyr=2024&LMparent=20,,39.01945652,-77.43400188,2024-04-10,SEP,39.01945652,
92,PEC-LDN-0023,Loudoun County,GI TC 45360 SEVERN WAY LLC,GI TC 45360 SEVERN WAY LLC,45360 W SEVERN WAY,042200988000,7.66,"126,900",,Complete,Existing,"Shown as ""Storage Warehouse""",https://reparcelasmt.loudoun.gov/pt/datalets/datalet.aspx?mode=profileall&UseSearch=no&pin=042200988000&jur=107&taxyr=2024&LMparent=20,,39.02167671,-77.43291713,2024-04-10,SEP,39.02167671,
